Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
davanteadams/2543495,"Adams, Davante",WR,2019,Preseason,1,08/08,Home,HOU,W,28 to 26,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2019,Preseason,2,08/15,Away,BAL,L,13 to 26,1,1,0,0,--,--,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Preseason,1,08/09,Home,TEN,W,31 to 17,1,1,2,57,28.5,48,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Preseason,2,08/16,Home,PIT,W,51 to 34,1,1,1,27,27.0,27,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Preseason,3,08/24,Away,OAK,L,6 to 13,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Preseason,4,08/30,Away,KC,L,21 to 33,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,1,09/09,Home,CHI,W,24 to 23,1,1,5,88,17.6,51,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,2,09/16,Home,MIN,T,29 to 29,1,1,8,64,8.0,16,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,3,09/23,Away,WAS,L,17 to 31,1,1,7,52,7.4,16,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,4,09/30,Home,BUF,W,22 to 0,1,1,8,81,10.1,25,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,5,10/07,Away,DET,L,23 to 31,1,1,9,140,15.6,30,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,6,10/15,Home,SF,W,33 to 30,1,1,10,132,13.2,38,2,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,8,10/28,Away,LA,L,27 to 29,1,1,5,133,26.6,48,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,9,11/04,Away,NE,L,17 to 31,1,1,6,40,6.7,10,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Regular Season,10,11/11,Home,MIA,W,31 to 12,1,1,4,57,14.3,25T,2,--,--,--,--,--,--,--
