Player Id,Name,Current Status,Years Played
ameerabdullah/2552374,"Abdullah, Ameer",Active,
odayaboushi/2539331,"Aboushi, Oday",Active,
johnathanabram/2562616,"Abram, Johnathan",Active,
samacho/2495101,"Acho, Sam",Active,
andrewadams/2556456,"Adams, Andrew",Active,
keionadams/2558729,"Adams, Keion",Active,
davanteadams/2543495,"Adams, Davante",Active,
jamaladams/2557979,"Adams, Jamal",Active,
jerelladams/2555311,"Adams, Jerell",Active,
joshadams/2560949,"Adams, Josh",Active,
matthewadams/2561149,"Adams, Matthew",Active,
montraviusadams/2557876,"Adams, Montravius",Active,
pauladams/2562452,"Adams, Paul",Active,
tonyadams/2561295,"Adams, Tony",Active,
tyrelladams/2553898,"Adams, Tyrell",Active,
jahleeladdae/2541958,"Addae, Jahleel",Active,
nasiradderley/2562617,"Adderley, Nasir",Active,
marioaddison/2530474,"Addison, Mario",Active,
olaadeniyi/2560950,"Adeniyi, Ola",Active,
aaronadeoye/2563149,"Adeoye, Aaron",Active,
tennyadewusi/2563114,"Adewusi, Tenny",Active,
patafriyie/2561572,"Afriyie, Pat",Active,
jordanagasiva/2563261,"Agasiva, Jordan",Cut,
nelsonagholor/2552600,"Agholor, Nelson",Active,
jamalagnew/2558821,"Agnew, Jamal",Active,
carltonagudosi/2559131,"Agudosi, Carlton",Active,
waltaikens/2543724,"Aikens, Walt",Active,
freedomakinmoladun/2563326,"Akinmoladun, Freedom",Active,
curtisakins/2562898,"Akins, Curtis",Active,
jordanakins/2560951,"Akins, Jordan",Active,
azeezal-shaair/2562462,"Al-Shaair, Azeez",Active,
otaroalaka/2562217,"Alaka, Otaro",Active,
adonisalexander/2561644,"Alexander, Adonis",Active,
deontezalexander/2561573,"Alexander, Deontez",Active,
d.j.alexander/2553442,"Alexander, D.J.",Active,
jairealexander/2560952,"Alexander, Jaire",Active,
lorenzoalexander/2506268,"Alexander, Lorenzo",Active,
mackensiealexander/2555177,"Alexander, Mackensie",Active,
mauricealexander/2550145,"Alexander, Maurice",Active,
kwonalexander/2552592,"Alexander, Kwon",Active,
justinalexandre/2563183,"Alexandre, Justin",Active,
joeyalfieri/2562936,"Alfieri, Joey",Active,
robertalford/2539653,"Alford, Robert",Active,
moalie-cox/2558832,"Alie-Cox, Mo",Active,
nickallegretti/2562399,"Allegretti, Nick",Active,
beauallen/2543884,"Allen, Beau",Active,
brandonallen/2555365,"Allen, Brandon",Active,
brianallen/2560954,"Allen, Brian",Active,
brianallen/2558237,"Allen, Brian",Active,
chaseallen/2559043,"Allen, Chase",Active,
dakotaallen/2562618,"Allen, Dakota",Active,
dwayneallen/2533046,"Allen, Dwayne",Active,
floydallen/2563328,"Allen, Floyd",Active,
javoriusallen/2552631,"Allen, Javorius",Injured reserve,
jonathanallen/2557844,"Allen, Jonathan",Active,
joshallen/2562619,"Allen, Josh",Active,
joshallen/2560955,"Allen, Josh",Active,
keenanallen/2540154,"Allen, Keenan",Active,
kyleallen/2561177,"Allen, Kyle",Active,
larryallenjr./2563317,"Allen, Larry Jr.",Active,
marcusallen/2560956,"Allen, Marcus",Active,
ricardoallen/2543850,"Allen, Ricardo",Active,
ryanallen/2539640,"Allen, Ryan",Active,
zachallen/2562219,"Allen, Zach",Active,
geronimoallison/2556460,"Allison, Geronimo",Active,
kikoalonso/2539935,"Alonso, Kiko",Active,
johnathanalston/2561520,"Alston, Johnathan",Active,
tysonalualu/496760,"Alualu, Tyson",Active,
ugoamadi/2562464,"Amadi, Ugo",Active,
dannyamendola/2649,"Amendola, Danny",Active,
kofiamichia/2558855,"Amichia, Kofi",Active,
adrianamos/2552385,"Amos, Adrian",Active,
princeamukamara/2495108,"Amukamara, Prince",Active,
abdullahanderson/2561088,"Anderson, Abdullah",Active,
bruceanderson/2562402,"Anderson, Bruce",Active,
calvinanderson/2562222,"Anderson, Calvin",Active,
c.j.anderson/2540269,"Anderson, C.J.",Active,
drewanderson/2563013,"Anderson, Drew",Active,
henryanderson/2552272,"Anderson, Henry",Active,
jonathananderson/2553488,"Anderson, Jonathan",Active,
ryananderson/2557853,"Anderson, Ryan",Active,
robbyanderson/2556462,"Anderson, Robby",Active,
rodneyanderson/2562221,"Anderson, Rodney",Active,
ryananderson/2563338,"Anderson, Ryan",Active,
ryananderson/2563146,"Anderson, Ryan",Cut,
stephenanderson/2556463,"Anderson, Stephen",Active,
davidandrews/2553632,"Andrews, David",Active,
joshandrews/2550277,"Andrews, Josh",Active,
markandrews/2560957,"Andrews, Mark",Active,
bryananger/2533000,"Anger, Bryan",Active,
jesseaniebonam/2562223,"Aniebonam, Jesse",Active,
eliankou/2559132,"Ankou, Eli",Active,
andrewankrah/2561296,"Ankrah, Andrew",Active,
ezekielansah/2539931,"Ansah, Ezekiel",Active,
stephoneanthony/2552321,"Anthony, Stephone",Cut,
alexanzalone/2558163,"Anzalone, Alex",Active,
troyapke/2560958,"Apke, Troy",Active,
eliapple/2555277,"Apple, Eli",Active,
marcusapplefield/2563099,"Applefield, Marcus",Active,
j.j.arcega-whiteside/2562466,"Arcega-Whiteside, J.J.",Active,
alexarmah/2558833,"Armah, Alex",Active,
arikarmstead/2552493,"Armstead, Arik",Active,
